Points,0,1,2,3
0,60.29888058662449,59.97805848808378,51.86400485886141,45.46286946509206
1,72.2179513694483,4914.599999999999,36.21342982927742,12.487894137924135
2,54.71731901327038,43.14032336457389,46.42881648286977,2551.9134453386146
3,23.39807684404853,53.42422203457903,40.63809788855773,36.36100246142837


